DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.48,450.4,-2.57868,-46.88023
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,2.0,0.59,21.5,-3.3898,-47.28176
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,1.0,12.0,-2.52433,-47.03046
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,1.24,0.44,28.5,-3.23103,-46.87882
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,1,2.99,0.65,8.4,-3.63974,-47.95577
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,1.31,0.59,36.0,-3.22391,-46.87629
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,3.83,0.83,14.1,-3.74403,-47.97176
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,4.04,0.8,32.0,-3.74576,-47.98356
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.5,0.4,14.7,-2.89885,-46.739
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.81,56.4,-2.59333,-46.87231
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.24,0.64,13.6,-2.85898,-46.72482
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.75,237.3,-2.58015,-46.89016
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,1.0,21.5,-2.54084,-46.94648
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,1.0,20.1,-2.65723,-46.98484
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.18,0.41,50.3,-2.84188,-46.73732
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,1.0,9.3,-2.4894,-46.85312
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.86,10.6,-2.57722,-46.87034
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,2.26,0.47,11.3,-3.3883,-47.2712
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.62,25.3,-2.59477,-46.88236
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,1.36,1.0,30.6,-3.22244,-46.86632
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.52,32.1,-2.56939,-46.88158
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.46,0.64,23.9,-2.90028,-46.74882
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.2,0.41,191.0,-2.84973,-46.72617
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,1.0,9.8,-2.488,-46.84328
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.2,0.48,35.7,-2.84047,-46.7275
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.12,0.48,19.9,-2.84328,-46.7471
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.2,0.63,1543.5,-2.85113,-46.73597
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.2,0.81,36.7,-2.83908,-46.71773
2025/12/02 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,1.26,1.0,85.9,-3.22961,-46.86889
